victim_id,numeric_id,value_numeric
209,3,45.5230622
209,4,-122.6764815
210,1,2000-05-12
210,2,60624
210,3,41.873359
210,4,-87.720795
211,1,2000-05-12
211,2,92801
211,3,33.8324111
211,4,-117.9687931
212,1,2000-05-13
212,2,80214
212,3,39.7402021
212,4,-105.081467
213,1,2000-05-13
213,2,80214
213,3,39.7402021
213,4,-105.081467
214,1,2000-05-14
214,2,93307
214,3,35.3048326
214,4,-119.0155443
215,1,2000-05-14
215,2,NULL
215,3,25.7616798
215,4,-80.1917902
216,1,2000-05-14
216,2,55407
216,3,44.9412119
216,4,-93.2629432
217,1,2000-05-14
217,2,74066
217,3,36.0073948
217,4,-96.1106106
218,1,2000-05-15
218,2,70518
218,3,30.1607407
218,4,-91.9708783
219,1,2000-05-17
219,2,33614
219,3,27.9915195
219,4,-82.4948807
220,1,2000-05-18
220,2,29418
220,3,32.9040099
220,4,-80.0853352
221,1,2000-05-19
221,2,12204
221,3,42.6755127
221,4,-73.7468473
222,1,2000-05-19
222,2,20774
222,3,38.8900393
222,4,-76.8084053
223,1,2000-05-20
223,2,29824
223,3,33.7935429
223,4,-81.935454
224,1,2000-05-20
224,2,20748
224,3,38.8343174
224,4,-76.9610581
225,1,2000-05-20
225,2,95204
225,3,37.9783551
225,4,-121.3417676
226,1,2000-05-20
226,2,90068
226,3,34.1070755
226,4,-118.3309411
227,1,2000-05-21
227,2,90022
227,3,34.0323066
227,4,-118.1472092
228,1,2000-05-23
228,2,93021
228,3,34.285409
228,4,-118.8808913
229,1,2000-05-24
229,2,2145
229,3,42.398325
229,4,-71.108412
230,1,2000-05-24
230,2,59047
230,3,45.6402479
230,4,-110.5882976
231,1,2000-05-24
231,2,93730
231,3,36.7317906
231,4,-119.7982246
232,1,2000-05-26
232,2,50701
232,3,42.4802775
232,4,-92.3571576
233,1,2000-05-27
233,2,29301
233,3,34.9383755
233,4,-81.9619055
234,1,2000-05-28
234,2,11214
234,3,40.616827
234,4,-73.992509
235,1,2000-05-29
235,2,29210
235,3,34.0336569
235,4,-81.0754075
236,1,2000-05-30
236,2,33916
236,3,26.6450748
236,4,-81.858368
237,1,2000-06-01
237,2,28306
237,3,34.9965997
237,4,-78.9010378
238,1,2000-06-01
238,2,32826
238,3,28.5669363
238,4,-81.2075609
239,1,2000-06-02
239,2,30060
239,3,33.9020203
239,4,-84.5413871
240,1,2000-06-02
240,2,60611
240,3,41.8831977
240,4,-87.5622834
241,1,2000-06-02
241,2,77506
241,3,29.7030471
241,4,-95.219144
242,1,2000-06-02
242,2,93703
242,3,36.7696348
242,4,-119.7776002
243,1,2000-06-03
243,2,59741
243,3,45.744628
243,4,-111.3196239
244,1,2000-06-03
244,2,55125
244,3,44.9091289
